Clave,Grupo,Curso,Profesor,Lunes,Martes,Miercoles,Jueves,Viernes,L-Sa,M-Sa,Mi-Sa,Ju-Sa,Vi-Sa,L-rho,M-rho,Mi-rho,Ju-rho,Vi-rho,L-phi,M-phi,Mi-phi,Ju-Phi,Vi-Phi
STFC,4B,SISTEMAS DE TRANSPORTACION FERROVIARIO Y CARRETERO,Profesor 15,-,12--13,-,17--19,17--19,-,S4,-,S4,S10,0.0,0.857,0.0,0.857,1.0,0.0,1,0.0,1,2,
STFC,4C,SISTEMAS DE TRANSPORTACION FERROVIARIO Y CARRETERO,Profesor 15,16--17,17--19,12--13,-,12--13,S4,S15,S9,-,S6,0.943,1.1,0.825,0.0,0.688,100,1,4,0.0,3,
DFI,9A,DISTRIBUCION FISICA INTERNACIONAL,Profesor 15,7--8,13--14,15--17,15--16,7--8,S3,S3,S3,S3,S3,0.829,0.829,0.829,0.829,0.829,1,1,1,1,1,
VS,1C,VALORES DEL SER,Profesor 16,15--17,-,-,-,10--11,S9,-,-,-,S9,0.85,0.0,0.0,0.0,0.85,1,0.0,0.0,0.0,1,
HP,4B,HABILIDADES DEL PENSAMIENTO,Profesor 16,17--18,-,17--18,-,14--15,S4,-,S4,-,S4,0.857,0.0,0.857,0.0,0.857,1,0.0,1,0.0,1,
MTL,9A,MODELOS DE TRANSPORTE Y LOGISTICA,Profesor 16,12--15,-,-,-,11--14,S3,-,-,-,S3,0.829,0.0,0.0,0.0,0.829,1,0.0,0.0,0.0,1,
TGTI7,7A,TUTORIA GRUPAL E INDIVIDUAL,Profesor 17,-,-,14--15,-,16--17,-,-,S6,-,S6,0.0,0.0,0.854,0.0,0.854,0.0,0.0,1,0.0,1,
TGTI7,7B,TUTORIA GRUPAL E INDIVIDUAL,Profesor 17,15--16,-,-,17--18,-,S6,-,-,S6,-,0.833,0.0,0.0,0.833,0.0,1,0.0,0.0,1,0.0,
I1,1A,INGLES 1,Profe Inglés 1,9--11,9--11,9--11,9--11,8--9,S10,S6,S10,S10,S10,1.0,0.625,1.0,1.0,1.0,1,2,1,1,1,
I1,1B,INGLES 1,Profe Inglés 2,9--11,9--11,9--11,9--11,8--9,S6,S7,S6,S6,S6,0.625,0.75,0.625,0.625,0.625,1,2,1,1,1,
I1,1C,INGLES 1,Profe Inglés 3,9--11,9--11,9--11,9--11,8--9,S9,S9,S9,S9,S9,0.85,0.85,0.85,0.85,0.85,1,1,1,1,1,
I1,1D,INGLES 1,Profe Inglés 4,9--11,9--11,9--11,9--11,8--9,S7,S15,S7,S7,S7,0.625,0.833,0.625,0.625,0.625,2,1,2,2,2,
I4,4A,INGLES 4,Profe Inglés 5,19--20,19--20,19--20,19--20,19--20,S9,S9,S9,S9,S9,0.875,0.875,0.875,0.875,0.875,1,1,1,1,1,
I4,4C,INGLES 4,Profe Inglés 6,19--20,19--20,19--20,19--20,19--20,S3,S3,S3,S3,S3,0.943,0.943,0.943,0.943,0.943,1,1,1,1,1,
I4,4B,INGLES 4,Profe Inglés 7,19--20,19--20,19--20,19--20,19--20,S7,S15,S10,S7,S7,0.75,1.0,1.0,0.75,0.75,1,5,3,1,1,
I7,7B,INGLES 7,Profe Inglés 8,18--19,18--19,18--19,18--19,18--19,S6,S7,S6,S6,S7,0.833,1.0,0.833,0.833,1.0,1,2,1,1,2,
I7,7A,INGLES 7,Profe Inglés 9,18--19,18--19,18--19,18--19,18--19,S7,S6,S7,S9,S6,1.025,0.854,1.025,1.025,0.854,2,1,2,3,1,
I9,9A,INGLES 9,Profe Inglés 10,11--12,11--12,11--12,11--13,-,S3,S3,S3,S3,-,0.829,0.829,0.829,0.829,0.0,1,1,1,1,0.0,
PE,1A,PROBABILIDAD Y ESTADISTICA,Ficticio 5,7--8,7--8,7--8,11--12,7--8,S15,S15,S15,S15,S15,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,
SCOL,7A,SISTEMAS DE COSTEO EN OPERACIONES LOGISTICAS,Ficticio 5,14--16,-,12--14,-,15--16,S7,-,S7,-,S6,1.025,0.0,1.025,0.0,0.854,2,0.0,2,0.0,1,
